600/600 [==============================] - 2s 3ms/step - loss: 0.0149 - accuracy: 0.9959 - val_loss: 0.0321, - val_accuracy: 0.9912
Epoch 79/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0158 - accuracy: 0.9952 - val_loss: 0.0279, - val_accuracy: 0.9920
Epoch 80/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0151 - accuracy: 0.9959 - val_loss: 0.0323, - val_accuracy: 0.9910
Epoch 81/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0142 - accuracy: 0.9961 - val_loss: 0.0296, - val_accuracy: 0.9904
Epoch 82/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0156 - accuracy: 0.9953 - val_loss: 0.0286, - val_accuracy: 0.9922
Epoch 83/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0139 - accuracy: 0.9960 - val_loss: 0.0323, - val_accuracy: 0.9914
Epoch 84/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0134 - accuracy: 0.9968 - val_loss: 0.0295, - val_accuracy: 0.9926
Epoch 85/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0119 - accuracy: 0.9972 - val_loss: 0.0285, - val_accuracy: 0.9924
Epoch 86/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0126 - accuracy: 0.9964 - val_loss: 0.0318, - val_accuracy: 0.9916
Epoch 87/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0130 - accuracy: 0.9963 - val_loss: 0.0337, - val_accuracy: 0.9920
Epoch 88/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0117 - accuracy: 0.9972 - val_loss: 0.0311, - val_accuracy: 0.9910
Epoch 89/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0118 - accuracy: 0.9971 - val_loss: 0.0317, - val_accuracy: 0.9924
Epoch 90/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0124 - accuracy: 0.9968 - val_loss: 0.0326, - val_accuracy: 0.9920
Epoch 91/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0128 - accuracy: 0.9961 - val_loss: 0.0312, - val_accuracy: 0.9920
Epoch 92/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0118 - accuracy: 0.9970 - val_loss: 0.0291, - val_accuracy: 0.9916
Epoch 93/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0108 - accuracy: 0.9974 - val_loss: 0.0292, - val_accuracy: 0.9922
Epoch 94/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0104 - accuracy: 0.9975 - val_loss: 0.0333, - val_accuracy: 0.9916
Epoch 95/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0106 - accuracy: 0.9975 - val_loss: 0.0346, - val_accuracy: 0.9898
Epoch 96/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0115 - accuracy: 0.9972 - val_loss: 0.0290, - val_accuracy: 0.9922
Epoch 97/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0097 - accuracy: 0.9974 - val_loss: 0.0320, - val_accuracy: 0.9918
Epoch 98/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0108 - accuracy: 0.9973 - val_loss: 0.0332, - val_accuracy: 0.9922
Epoch 99/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0094 - accuracy: 0.9979 - val_loss: 0.0356, - val_accuracy: 0.9920
Epoch 100/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0109 - accuracy: 0.9971 - val_loss: 0.0343, - val_accuracy: 0.9916
